dataset,architecture,run_id,subset,coords,val_acc,eval_status,overall_accuracy,macro_accuracy,median_class_accuracy,n_classes_below_50pct,train_val_acc,n_landmarks,feature_dim,n_params,n_classes,n_val,split,model_name,streaming,trained_date,training_source,epochs,best_epoch,hyp_batch_size,hyp_lr,hyp_lr_schedule,hyp_loss,hyp_precision,hyp_hidden_size,hyp_num_layers,hyp_dropout,hyp_weight_decay,hyp_grad_clip,hyp_seed,hyp_max_seq_len,hyp_num_workers,notes,path
gislr,gru,20260716-221157,FP_118,xyz,0.746,pending,,,,,0.746,118,354,930238,250,9448,"stratified 90/10, random_state=42",StreamingGRU,True,2026-07-16,gislr.1.model.gru.ipynb,60,,192,0.0003,OneCycleLR,CE + label smoothing 0.1,AMP,256,2,0.3,0.0001,5.0,42,128,0,FP-118 ablation (exact Kaggle-1st-place subset = ME-126 minus 8 upper-body pose landmarks); isolates whether pose helps a streaming model. Training-loop val acc 74.60% - pending canonical eval.,gislr/gru/20260716-221157
gislr,gru,20260715-190729,ME_126,xyz,0.7374047417442845,canonical,0.7374047417442845,0.7349066241960336,0.7435897435897436,9.0,0.7374,126,378,948718,250,9448,"stratified 90/10, random_state=42",StreamingGRU,True,2026-07-15,cache/train_gru_me126.py,60,59.0,192,0.0003,OneCycleLR,CE + label smoothing 0.1,AMP,256,2,0.3,0.0001,5.0,42,128,0,ME-126 subset ablation winner: +3.14 pts over the full-543 baseline at 50.4% fewer params. Current leaderboard best for gislr/gru.,gislr/gru/20260715-190729
gislr,gru,20260716-213901,ME_126,xyz,0.7373,pending,,,,,0.7373,126,378,948718,250,9448,"stratified 90/10, random_state=42",StreamingGRU,True,2026-07-16,gislr.1.model.gru.ipynb,60,,192,0.0003,OneCycleLR,CE + label smoothing 0.1,AMP,256,2,0.3,0.0001,5.0,42,128,0,ME-126 reproducibility re-run of 20260715-190729 from the rebuilt subset-ablation notebook; training-loop val acc matches (73.73%).,gislr/gru/20260716-213901
gislr,gru,20260716-215522,ME_132,xyz,0.7247,pending,,,,,0.7247,132,396,962578,250,9448,"stratified 90/10, random_state=42",StreamingGRU,True,2026-07-16,gislr.1.model.gru.ipynb,60,,192,0.0003,OneCycleLR,CE + label smoothing 0.1,AMP,256,2,0.3,0.0001,5.0,42,128,0,ME-132 ablation (ME-126 + pose wrist points 17-22); tests the probe prediction that the extra 6 landmarks add nothing.,gislr/gru/20260716-215522
gislr,gru,20260713-213000,FULL_543,xyz,0.7058636748518204,canonical,0.7058636748518204,0.7036205345518268,0.7222222222222222,22.0,0.7059,543,1629,1911988,250,9448,"stratified 90/10, random_state=42",StreamingGRU,True,2026-07-13,gislr.1.model.gru.ipynb,60,57.0,192,0.0003,OneCycleLR,CE + label smoothing 0.1,AMP,256,2,0.3,0.0001,5.0,42,128,8,Full-543-landmark baseline; the reference all subset ablations are measured against.,gislr/gru/20260713-213000
